Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,START,217.267,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,6519,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,STOP,222.432,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,NA,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,ventral side,,START,222.433,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,6674,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,ventral side,,STOP,233.9,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,7018,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,breath,,see blowholes,,POINT,237.533,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,7127,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,START,243.433,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,7304,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,STOP,252.332,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,NA,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,ventral side,,START,252.333,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,7571,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,ventral side,,STOP,259.666,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,NA,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,START,259.667,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,7791,NA,
