Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,START,228.633,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,6860,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,239.967,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,7200,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,242.900,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,7288,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,254.100,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,7624,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,STOP,259.867,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,7797,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,None,STOP,266.166,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,NA,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,other,START,266.167,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,7986,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,272.900,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,8188,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,286.567,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,8598,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,293.700,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,8812,NA,
